#Position (bp)	insert size
38.0	20845.84037475694
113.0	0.0
188.0	105.0
263.0	374.2
338.0	221.0
413.0	620.4255319148937
488.0	460.3695652173913
563.0	333.5110294117647
638.0	436.16964285714283
713.0	310.0
788.0	388.0
863.0	174.5
938.0	592.0
1013.0	547.5
1088.0	0.0
1163.0	238.555136663525
1238.0	355.49626865671644
1313.0	569.0
1388.0	577.0
1463.0	419.875
1538.0	881.0
1613.0	685.0
1688.0	0.0
1763.0	156.2123176661264
1838.0	243.33333333333334
1913.0	513.6666666666666
1988.0	389.6666666666667
2063.0	0.0
2138.0	352.0
2213.0	371.3333333333333
2288.0	180.0
2363.0	156.0
2438.0	279.6666666666667
2513.0	0.0
2588.0	0.0
2663.0	829.0
2738.0	0.0
2813.0	0.0
2888.0	0.0
2963.0	250.5
3038.0	497.79716312056735
3113.0	464.5
3188.0	22.0
3263.0	276.06815511163336
3338.0	295.77777777777777
3413.0	308.3333333333333
3488.0	235.47058823529412
3563.0	555.3333333333334
3638.0	779.2
3713.0	818.0
3788.0	702.0967741935484
3863.0	151.0
3938.0	153.0
4013.0	383.0
4088.0	0.0
4163.0	565.4615384615385
4238.0	681.6666666666666
4313.0	305.61538461538464
4388.0	478.5
4463.0	42.0
4538.0	327.0
4613.0	181.66666666666666
4688.0	204.99761904761905
4763.0	450.8189655172414
4838.0	393.0
4913.0	391.0
4988.0	230.0
5063.0	238.99086161879896
5138.0	0.0
5213.0	0.0
5288.0	645.0
5363.0	643.4202898550725
5438.0	501.0
5513.0	367.0
5588.0	342.25
5663.0	0.0
5738.0	232.0
5813.0	436.0673575129534
5888.0	758.0
5963.0	336.884
6038.0	422.5
6113.0	0.0
6188.0	0.0
6263.0	0.0
6338.0	306.75
6413.0	203.9
6488.0	0.0
6563.0	770.0
6638.0	883.3846153846154
6713.0	477.3333333333333
6788.0	766.0666666666667
6863.0	871.0
6938.0	457.5
7013.0	0.0
7088.0	0.0
7163.0	0.0
7238.0	0.0
7313.0	796.0
7388.0	395.3358333333333
7463.0	203.0
7538.0	170.6
7613.0	347.6
7688.0	0.0
7763.0	803.5714285714286
7838.0	578.5
7913.0	431.0
7988.0	384.0
8063.0	174.94870438921205
8138.0	74.67567567567568
8213.0	265.1666666666667
8288.0	604.9230769230769
8363.0	442.75
8438.0	592.0
8513.0	818.875
8588.0	262.8
8663.0	0.0
8738.0	595.5
8813.0	308.0
8888.0	452.5
8963.0	519.2857142857143
9038.0	0.0
9113.0	180.91176470588235
9188.0	167.0
9263.0	771.6
9338.0	218.68569131832797
9413.0	228.625
9488.0	0.0
9563.0	175.66666666666666
9638.0	553.3333333333334
9713.0	592.0
9788.0	550.4528301886793
9863.0	338.3333333333333
9938.0	196.7177606177606
10013.0	208.625
10088.0	924.0
10163.0	421.0
10238.0	188.0
10313.0	426.0
10388.0	55.0
10463.0	232.5
10538.0	236.99240506329113
10613.0	200.77777777777777
10688.0	376.3243243243243
10763.0	0.0
