NC_045512.2	0	66	29903	0.00220714
NC_045512.2	1	733	29903	0.0245126
NC_045512.2	2	1087	29903	0.0363509
NC_045512.2	3	1983	29903	0.0663144
NC_045512.2	4	4122	29903	0.137846
NC_045512.2	5	3851	29903	0.128783
NC_045512.2	6	3443	29903	0.115139
NC_045512.2	7	2776	29903	0.0928335
NC_045512.2	8	3032	29903	0.101395
NC_045512.2	9	1851	29903	0.0619001
NC_045512.2	10	1735	29903	0.0580209
NC_045512.2	11	1591	29903	0.0532054
NC_045512.2	12	1096	29903	0.0366518
NC_045512.2	13	802	29903	0.0268201
NC_045512.2	14	513	29903	0.0171555
NC_045512.2	15	512	29903	0.017122
NC_045512.2	16	102	29903	0.00341103
NC_045512.2	17	74	29903	0.00247467
NC_045512.2	18	142	29903	0.00474869
NC_045512.2	19	59	29903	0.00197305
NC_045512.2	20	15	29903	0.000501622
NC_045512.2	21	6	29903	0.000200649
NC_045512.2	22	13	29903	0.000434739
NC_045512.2	23	95	29903	0.00317694
NC_045512.2	24	21	29903	0.000702271
NC_045512.2	25	12	29903	0.000401298
NC_045512.2	26	10	29903	0.000334415
NC_045512.2	27	48	29903	0.00160519
NC_045512.2	28	55	29903	0.00183928
NC_045512.2	29	11	29903	0.000367856
NC_045512.2	366	1	29903	3.34415e-05
NC_045512.2	1280	1	29903	3.34415e-05
NC_045512.2	2801	1	29903	3.34415e-05
NC_045512.2	2807	3	29903	0.000100324
NC_045512.2	2835	1	29903	3.34415e-05
NC_045512.2	2838	2	29903	6.68829e-05
NC_045512.2	2839	1	29903	3.34415e-05
NC_045512.2	2844	1	29903	3.34415e-05
NC_045512.2	2850	1	29903	3.34415e-05
NC_045512.2	2851	2	29903	6.68829e-05
NC_045512.2	2858	1	29903	3.34415e-05
NC_045512.2	2862	1	29903	3.34415e-05
NC_045512.2	2865	6	29903	0.000200649
NC_045512.2	2866	1	29903	3.34415e-05
NC_045512.2	2873	24	29903	0.000802595
genome	0	66	29903	0.00220714
genome	1	733	29903	0.0245126
genome	2	1087	29903	0.0363509
genome	3	1983	29903	0.0663144
genome	4	4122	29903	0.137846
genome	5	3851	29903	0.128783
genome	6	3443	29903	0.115139
genome	7	2776	29903	0.0928335
genome	8	3032	29903	0.101395
genome	9	1851	29903	0.0619001
genome	10	1735	29903	0.0580209
genome	11	1591	29903	0.0532054
genome	12	1096	29903	0.0366518
genome	13	802	29903	0.0268201
genome	14	513	29903	0.0171555
genome	15	512	29903	0.017122
genome	16	102	29903	0.00341103
genome	17	74	29903	0.00247467
genome	18	142	29903	0.00474869
genome	19	59	29903	0.00197305
genome	20	15	29903	0.000501622
genome	21	6	29903	0.000200649
genome	22	13	29903	0.000434739
genome	23	95	29903	0.00317694
genome	24	21	29903	0.000702271
genome	25	12	29903	0.000401298
genome	26	10	29903	0.000334415
genome	27	48	29903	0.00160519
genome	28	55	29903	0.00183928
genome	29	11	29903	0.000367856
genome	366	1	29903	3.34415e-05
genome	1280	1	29903	3.34415e-05
genome	2801	1	29903	3.34415e-05
genome	2807	3	29903	0.000100324
genome	2835	1	29903	3.34415e-05
genome	2838	2	29903	6.68829e-05
genome	2839	1	29903	3.34415e-05
genome	2844	1	29903	3.34415e-05
genome	2850	1	29903	3.34415e-05
genome	2851	2	29903	6.68829e-05
genome	2858	1	29903	3.34415e-05
genome	2862	1	29903	3.34415e-05
genome	2865	6	29903	0.000200649
genome	2866	1	29903	3.34415e-05
genome	2873	24	29903	0.000802595
