#Position (bp)	insert size
38.0	212.05263157894737
113.0	210.22222222222223
188.0	181.01754385964912
263.0	156.16666666666666
338.0	206.93
413.0	202.3684210526316
488.0	188.80722891566265
563.0	167.14705882352942
638.0	208.85470085470087
713.0	205.8918918918919
788.0	189.24463519313304
863.0	161.40506329113924
938.0	197.94594594594594
1013.0	214.875
1088.0	182.15384615384616
1163.0	161.20833333333334
1238.0	179.66666666666666
1313.0	208.25
1388.0	0.0
1463.0	152.0
1538.0	0.0
1613.0	225.44228480761603
1688.0	201.02311161217588
1763.0	176.1850170261067
1838.0	144.08823529411765
1913.0	133.55555555555554
1988.0	193.33333333333334
2063.0	172.6
2138.0	0.0
2213.0	218.125
2288.0	228.36363636363637
2363.0	194.85714285714286
2438.0	173.75
2513.0	0.0
2588.0	0.0
2663.0	161.0
2738.0	0.0
2813.0	199.33333333333334
2888.0	200.2
2963.0	203.875
3038.0	164.5
3113.0	0.0
3188.0	0.0
3263.0	151.0
3338.0	0.0
3413.0	0.0
3488.0	214.1651376146789
3563.0	197.096
3638.0	177.62295081967213
3713.0	147.27272727272728
3788.0	254.0
3863.0	162.0
3938.0	179.0
4013.0	0.0
4088.0	208.37679494543366
4163.0	198.7013769363167
4238.0	169.4078947368421
4313.0	116.5
4388.0	39.0
4463.0	182.0
4538.0	152.0
4613.0	0.0
4688.0	236.66666666666666
4763.0	153.0
4838.0	220.0
4913.0	0.0
4988.0	0.0
5063.0	173.0
5138.0	0.0
5213.0	0.0
5288.0	186.85714285714286
5363.0	188.875
5438.0	186.0
5513.0	0.0
5588.0	190.00980392156862
5663.0	190.98305084745763
5738.0	181.20833333333334
5813.0	157.33333333333334
5888.0	217.9
5963.0	197.5909090909091
6038.0	179.2
6113.0	159.75
6188.0	255.0
6263.0	0.0
6338.0	156.0
6413.0	0.0
6488.0	203.2826086956522
6563.0	206.28571428571428
6638.0	188.71428571428572
6713.0	135.66666666666666
6788.0	50.0
6863.0	0.0
6938.0	168.0
7013.0	196.66666666666666
7088.0	201.78048780487805
7163.0	192.47619047619048
7238.0	186.1818181818182
7313.0	259.0
7388.0	156.0
7463.0	170.5
7538.0	0.0
7613.0	258.5
7688.0	232.7
7763.0	203.83333333333334
7838.0	168.66666666666666
7913.0	187.78571428571428
7988.0	229.2216216216216
8063.0	203.6984572230014
8138.0	176.5500945179584
8213.0	172.06896551724137
8288.0	223.5826477187734
8363.0	211.64837905236908
8438.0	185.65188834154353
8513.0	159.5
8588.0	41.0
8663.0	0.0
8738.0	0.0
8813.0	0.0
8888.0	216.99133448873482
8963.0	212.73755458515285
9038.0	186.07979120059656
9113.0	163.3314447592068
9188.0	149.93548387096774
9263.0	223.55
9338.0	217.1
9413.0	165.07142857142858
9488.0	216.7877094972067
9563.0	208.490625
9638.0	179.97844311377244
9713.0	155.61870503597123
9788.0	155.1851851851852
9863.0	218.66666666666666
9938.0	198.04347826086956
10013.0	159.5
10088.0	200.03333333333333
10163.0	203.5
10238.0	171.58333333333334
10313.0	158.25
10388.0	179.0
10463.0	174.0
10538.0	209.0
10613.0	0.0
10688.0	225.72727272727272
10763.0	219.66666666666666
10838.0	182.71428571428572
10913.0	171.0
10988.0	201.5
11063.0	184.0
11138.0	211.0
11213.0	162.0
11288.0	209.46428571428572
11363.0	206.91836734693877
11438.0	186.74358974358975
11513.0	167.25
11588.0	0.0
11663.0	0.0
11738.0	0.0
11813.0	0.0
11888.0	219.890603085554
11963.0	207.2309885931559
12038.0	180.72222222222223
12113.0	154.13259668508286
12188.0	60.3
12263.0	0.0
12338.0	0.0
12413.0	232.21187800963082
12488.0	221.5348432055749
12563.0	194.17793103448275
12638.0	163.19341563786008
12713.0	156.73333333333332
12788.0	224.5
12863.0	186.72727272727272
12938.0	153.66666666666666
13013.0	224.91158536585365
13088.0	210.85289452815226
13163.0	183.3609693877551
13238.0	156.0210970464135
13313.0	92.34146341463415
13388.0	175.85714285714286
13463.0	182.1818181818182
13538.0	157.5
13613.0	188.3548387096774
13688.0	190.5
13763.0	184.0
13838.0	157.125
13913.0	210.57142857142858
13988.0	207.2
14063.0	193.57142857142858
14138.0	168.66666666666666
14213.0	207.3875
14288.0	208.97560975609755
14363.0	183.05714285714285
14438.0	158.625
14513.0	57.0
14588.0	210.8181818181818
14663.0	166.0
14738.0	175.33333333333334
14813.0	0.0
14888.0	218.91576673866092
14963.0	194.69435215946845
15038.0	172.26293103448276
15113.0	151.125
15188.0	229.7853982300885
15263.0	208.40322580645162
15338.0	183.22701149425288
15413.0	167.70909090909092
15488.0	223.26931106471815
15563.0	216.30258302583024
15638.0	194.32924335378323
15713.0	163.6952380952381
15788.0	62.40909090909091
15863.0	171.72727272727272
15938.0	173.55555555555554
16013.0	168.9090909090909
16088.0	0.0
16163.0	214.62857142857143
16238.0	214.68
16313.0	175.02564102564102
16388.0	216.13333333333333
16463.0	214.0590405904059
16538.0	201.13636363636363
16613.0	185.48760330578511
16688.0	165.3846153846154
16763.0	216.17494089834514
16838.0	214.33900441083807
16913.0	185.35112059765208
16988.0	167.03846153846155
17063.0	227.25077081192188
17138.0	217.2900900900901
17213.0	193.8588498879761
17288.0	163.5879120879121
17363.0	166.175
17438.0	209.04137931034484
17513.0	188.23958333333334
17588.0	164.10526315789474
17663.0	181.33333333333334
17738.0	199.45454545454547
17813.0	178.5
17888.0	166.88888888888889
17963.0	225.7404255319149
18038.0	210.92337164750958
18113.0	192.02452984464432
18188.0	162.09253731343284
18263.0	197.02777777777777
18338.0	207.6
18413.0	188.46153846153845
18488.0	167.0
18563.0	0.0
18638.0	222.4876589379207
18713.0	200.20118343195267
18788.0	171.75878220140515
18863.0	108.35714285714286
18938.0	109.53333333333333
19013.0	179.0
19088.0	190.0
19163.0	0.0
19238.0	223.2801387684302
19313.0	204.38565629228688
19388.0	179.14728682170542
19463.0	158.35344827586206
19538.0	54.0
19613.0	0.0
19688.0	0.0
19763.0	0.0
19838.0	216.05990783410138
19913.0	210.0952380952381
19988.0	195.1492537313433
20063.0	170.45762711864407
20138.0	134.33333333333334
20213.0	0.0
20288.0	0.0
20363.0	0.0
20438.0	0.0
20513.0	230.1377245508982
20588.0	215.05844155844156
20663.0	178.99212598425197
20738.0	176.0
20813.0	220.0
20888.0	252.0
20963.0	0.0
21038.0	261.0
21113.0	218.79146919431278
21188.0	199.8962765957447
21263.0	174.26190476190476
21338.0	159.5
21413.0	206.83333333333334
21488.0	191.2
21563.0	156.0
21638.0	220.4725897920605
21713.0	214.25550366911276
21788.0	194.71526908635795
21863.0	166.9612244897959
21938.0	76.55555555555556
22013.0	43.875
22088.0	0.0
22163.0	168.0
22238.0	187.6
22313.0	199.25925925925927
22388.0	191.97368421052633
22463.0	169.48275862068965
22538.0	0.0
22613.0	0.0
22688.0	0.0
22763.0	0.0
22838.0	217.82369942196533
22913.0	201.21680672268909
22988.0	185.72256097560975
23063.0	160.89690721649484
23138.0	220.3045822102426
23213.0	217.6346555323591
23288.0	189.71728971962617
23363.0	164.67375886524823
23438.0	210.58333333333334
23513.0	206.8235294117647
23588.0	192.6206896551724
23663.0	168.3846153846154
23738.0	0.0
23813.0	225.7095238095238
23888.0	205.66666666666666
23963.0	179.54
24038.0	138.88888888888889
24113.0	202.63829787234042
24188.0	199.65384615384616
24263.0	173.46153846153845
24338.0	0.0
24413.0	160.0
24488.0	205.0
24563.0	181.5
24638.0	170.0
24713.0	230.82900864936792
24788.0	207.23537323470075
24863.0	182.80776575429664
24938.0	156.0222222222222
25013.0	214.1883116883117
25088.0	207.01098901098902
25163.0	173.15
25238.0	167.14285714285714
25313.0	222.5141969831411
25388.0	207.53478260869565
25463.0	177.7089947089947
25538.0	150.13761467889907
25613.0	57.666666666666664
25688.0	0.0
25763.0	0.0
25838.0	0.0
25913.0	218.75
25988.0	227.0
26063.0	167.0
26138.0	154.0
26213.0	0.0
26288.0	274.0
26363.0	0.0
26438.0	0.0
26513.0	214.8
26588.0	219.7093023255814
26663.0	188.96923076923076
26738.0	170.875
26813.0	197.0
26888.0	213.5
26963.0	189.93103448275863
27038.0	185.45
27113.0	238.25
27188.0	217.6747967479675
27263.0	200.24418604651163
27338.0	168.13636363636363
27413.0	0.0
27488.0	0.0
27563.0	0.0
27638.0	0.0
27713.0	0.0
27788.0	218.8148148148148
27863.0	186.83333333333334
27938.0	181.52380952380952
28013.0	161.58333333333334
28088.0	225.34
28163.0	200.45454545454547
28238.0	184.53125
28313.0	160.6315789473684
28388.0	230.1662817551963
28463.0	224.0213611525087
28538.0	192.60805500982318
28613.0	162.04065040650406
28688.0	64.84615384615384
28763.0	57.146341463414636
28838.0	41.0
28913.0	164.0
28988.0	221.54621848739495
29063.0	210.75035936751317
29138.0	191.06952380952382
29213.0	163.41902313624678
29288.0	59.375
29363.0	40.0
29438.0	166.0
29513.0	221.39581036383683
29588.0	199.90651558073654
29663.0	176.82118055555554
29738.0	145.7
29813.0	54.0
29877.0	40.875
