NC_045512.2	0	29137	29903	0.974384
NC_045512.2	1	229	29903	0.00765809
NC_045512.2	2	502	29903	0.0167876
NC_045512.2	8	1	29903	3.34415e-05
NC_045512.2	11	2	29903	6.68829e-05
NC_045512.2	12	1	29903	3.34415e-05
NC_045512.2	13	2	29903	6.68829e-05
NC_045512.2	16	29	29903	0.000969802
genome	0	29137	29903	0.974384
genome	1	229	29903	0.00765809
genome	2	502	29903	0.0167876
genome	8	1	29903	3.34415e-05
genome	11	2	29903	6.68829e-05
genome	12	1	29903	3.34415e-05
genome	13	2	29903	6.68829e-05
genome	16	29	29903	0.000969802
