Pos	-	t	n	a	k	g	c	y	r	s	w	m	d	v	b	u	h
1	87561	55	0	6414	0	58	36	1	2	0	0	1	0	1	1	0	0
2	86237	7651	33	78	6	43	50	17	0	1	3	0	3	1	2	0	5
3	84356	9621	31	35	1	38	40	2	0	0	2	0	0	0	4	0	0
4	83551	137	69	10256	0	72	21	0	2	0	8	1	10	0	1	0	2
5	81893	35	57	12085	0	29	27	0	0	0	2	1	0	0	0	0	1
6	81496	22	43	12534	0	19	14	0	1	0	0	1	0	0	0	0	0
7	80618	11	48	27	3	13400	22	0	0	1	0	0	0	0	0	0	0
8	79967	11	41	46	2	14045	12	0	4	1	0	0	0	1	0	0	0
9	79502	14515	59	13	1	7	24	2	0	0	7	0	0	0	0	0	0
10	79066	14906	52	25	7	39	19	5	0	0	11	0	0	0	0	0	0
11	78342	15675	45	14	5	27	15	5	0	0	1	0	1	0	0	0	0
12	77357	37	39	16641	0	37	8	0	4	0	4	2	1	0	0	0	0
13	76406	17554	50	23	0	2	74	15	0	0	5	0	0	0	1	0	0
14	75687	20	52	18356	0	11	3	0	0	0	1	0	0	0	0	0	0
15	75351	17	46	12	0	2	18700	1	0	0	0	1	0	0	0	0	0
16	74594	34	51	15	0	6	19425	0	0	1	0	4	0	0	0	0	0
17	73944	20110	45	7	1	1	20	0	0	0	2	0	0	0	0	0	0
18	73429	20591	45	4	2	47	11	0	0	0	0	0	1	0	0	0	0
19	73266	26	58	6	0	47	20721	0	0	1	0	1	0	4	0	0	0
20	73134	11	53	4	0	50	20869	0	0	5	0	1	0	1	1	0	1
21	72980	77	52	42	0	9	20956	5	0	1	0	7	0	0	0	0	1
22	72792	14	59	21241	0	20	2	0	0	0	1	1	0	0	0	0	0
23	72493	18	60	38	0	21509	10	0	1	0	0	0	1	0	0	0	0
24	72136	22	62	12	1	21870	27	0	0	0	0	0	0	0	0	0	0
25	71588	22330	59	73	0	42	33	4	0	0	1	0	0	0	0	0	0
26	70387	21	38	23673	0	4	4	0	1	0	2	0	0	0	0	0	0
27	70073	3	44	23985	0	13	10	0	0	0	0	2	0	0	0	0	0
28	69940	64	44	7	0	4	24065	4	0	0	0	2	0	0	0	0	0
29	69696	6	41	24379	0	1	5	0	1	0	0	1	0	0	0	0	0
30	69243	18	53	24718	0	68	9	0	15	0	3	2	0	0	0	0	1
31	65682	127	60	28233	0	8	2	0	1	0	14	1	0	0	0	0	2
32	65185	15	39	11	0	1	28879	0	0	0	0	0	0	0	0	0	0
33	64912	13	46	2	0	13	29141	1	0	0	0	2	0	0	0	0	0
34	64623	339	60	29003	0	4	24	0	1	0	14	0	0	0	0	0	62
35	64461	439	77	29108	0	9	2	0	1	0	31	0	0	0	0	0	2
36	64109	730	54	9	0	5	29187	26	0	4	0	2	0	0	1	0	3
37	63578	38	68	154	0	4	30191	4	0	4	0	6	0	0	0	0	83
38	62762	1	51	31251	0	28	4	0	29	0	3	1	0	0	0	0	0
