#Position (bp)	mapping quality
38.0	59.999135350412345
113.0	59.9981073684749
188.0	59.9903204877636
263.0	59.948930187475106
338.0	59.99786594019526
413.0	59.99723166289474
488.0	59.99700643640858
563.0	59.9973063373252
638.0	59.99761983611291
713.0	59.995152689721316
788.0	59.99873758983023
863.0	59.99831790906922
938.0	59.998632790559405
1013.0	59.998223033589525
1088.0	59.99903319850873
1163.0	59.99839725928189
1238.0	59.99874671011405
1313.0	59.997421952538105
1388.0	59.998994858070816
1463.0	59.99925487486104
1538.0	59.998201114845564
1613.0	59.997754996681174
1688.0	59.9983677595221
1763.0	59.99893497426188
1838.0	59.99839318821672
1913.0	59.99556291195497
1988.0	59.99750073654617
2063.0	59.99843360001171
2138.0	59.99823539500346
2213.0	59.99830983414389
2288.0	59.998230684512556
2363.0	59.99748888795328
2438.0	59.999254022156656
2513.0	59.99873349824494
2588.0	59.99891947827192
2663.0	59.99823521421823
2738.0	59.99810554773876
2813.0	59.99870935565859
2888.0	59.997427125546125
2963.0	59.99925224277051
3038.0	59.95066269511407
3113.0	59.9986068515043
3188.0	59.99776452881533
3263.0	59.90755020195228
3338.0	59.9994901963802
3413.0	59.998695401592045
3488.0	59.99895425723502
3563.0	59.998012357607145
3638.0	59.999157182442715
3713.0	59.997489289471545
3788.0	59.99900338424619
3863.0	59.99812328967203
3938.0	59.999518179535286
4013.0	59.99881984509555
4088.0	59.99851200058876
4163.0	59.997595953057136
4238.0	59.99855403012091
4313.0	59.99858285747364
4388.0	59.997747554155225
4463.0	59.99805034841156
4538.0	59.997980152155286
4613.0	59.99928056927541
4688.0	59.99814585856933
4763.0	59.99848173200436
4838.0	59.99910349578989
4913.0	59.99847546135662
4988.0	59.998431016652845
5063.0	59.99936956247636
5138.0	59.99856321839081
5213.0	59.997617629541395
5288.0	59.99799813413391
5363.0	59.99785257452328
5438.0	59.99841707075141
5513.0	59.99871910489456
5588.0	59.998637931141225
5663.0	59.99961004036336
5738.0	59.983675757227815
5813.0	59.99890875355214
5888.0	59.996415046853144
5963.0	59.99886538027943
6038.0	59.99857473877498
6113.0	59.999259108900844
6188.0	59.95623646786793
6263.0	59.998734806426405
6338.0	59.99859547259034
6413.0	59.99791577491302
6488.0	59.99728381507745
6563.0	59.99830623691312
6638.0	59.999514812058806
6713.0	59.99910668139937
6788.0	59.999194744918015
6863.0	59.99806965161954
6938.0	60.0
7013.0	59.997141526761
7088.0	59.99840161163749
7163.0	59.999512699943736
7238.0	59.99849315218343
7313.0	59.99667645277785
7388.0	59.99869737292314
7463.0	59.99920043885298
7538.0	59.999048178428524
7613.0	59.9983159079503
7688.0	59.99892796021828
7763.0	59.99829614893978
7838.0	59.998861118374876
7913.0	59.99755395628461
7988.0	59.997695670653954
8063.0	59.99896107181252
8138.0	59.99913123908646
8213.0	59.99762589301272
8288.0	59.998536343577555
8363.0	59.99629079168215
8438.0	59.99942583866066
8513.0	59.999211440082696
8588.0	59.997526409760454
8663.0	59.99886990747794
8738.0	59.999165466965685
8813.0	59.99803202385166
8888.0	59.99908631406491
8963.0	59.99775946896884
9038.0	59.998727136831775
9113.0	59.9984400605784
9188.0	59.996583036787015
9263.0	59.998630294389294
9338.0	59.9991095900286
9413.0	59.999229585784
9488.0	59.99857832254416
9563.0	59.99788286465709
9638.0	59.99880935214563
9713.0	59.99899570625093
9788.0	59.99769013443444
9863.0	59.99842675906656
9938.0	59.99913433029628
10013.0	59.99857922684946
10088.0	59.99846774396854
10163.0	59.99655636287477
10238.0	59.99922531867573
10313.0	59.9987016196487
10388.0	59.99896302456759
10463.0	59.9990529637054
10538.0	59.99882726083893
10613.0	59.99797521458719
10688.0	59.99818013043461
10763.0	59.998481758610865
10838.0	59.999128548791845
10913.0	59.998924950234844
10988.0	59.99921396718645
11063.0	59.98934093034641
11138.0	59.9980988356977
11213.0	59.99878236619869
11288.0	59.997777091145934
11363.0	59.998479651437016
11438.0	59.99864299081852
11513.0	59.998905608153876
11588.0	59.99630191639013
11663.0	59.99857225784272
11738.0	59.99871605850157
11813.0	59.99858080641223
11888.0	59.99860140706925
11963.0	59.99861960677226
12038.0	59.99854365528141
12113.0	59.99752375605473
12188.0	59.99911263824529
12263.0	59.99766094747718
12338.0	59.999189124022735
12413.0	59.99785963108903
12488.0	59.997903695128436
12563.0	59.99875934047506
12638.0	59.99908052369782
12713.0	59.997513646394836
12788.0	59.99869226757494
12863.0	59.99875124875125
12938.0	59.9990807850243
13013.0	59.99721770013807
13088.0	59.9987252017832
13163.0	59.99862249989449
13238.0	59.99879069176665
13313.0	59.99835662405677
13388.0	59.994284820765415
13463.0	59.99907922373754
13538.0	59.999365820648734
13613.0	59.99803991955873
13688.0	59.995650223715174
13763.0	59.9959228890229
13838.0	59.998592401958554
13913.0	59.997677506801146
13988.0	59.99685773800406
14063.0	59.9988872925537
14138.0	59.99818276534655
14213.0	59.99584109584805
14288.0	59.9993893096139
14363.0	59.986945540394174
14438.0	59.95186700020085
14513.0	59.99947919287475
14588.0	59.99636289863291
14663.0	59.998314847052974
14738.0	59.9989157811193
14813.0	59.99887813867376
14888.0	59.99301995942659
14963.0	59.99919486679822
15038.0	59.99865145462342
15113.0	59.998503001092594
15188.0	59.999225422424594
15263.0	59.99901429966224
15338.0	59.999272764519105
15413.0	59.99857961367238
15488.0	59.998690409886656
15563.0	59.998735438712615
15638.0	59.99868228465154
15713.0	59.99796245689151
15788.0	59.99764917109703
15863.0	59.99792945706484
15938.0	59.99934614300551
16013.0	59.998683564921365
16088.0	59.99929104862856
16163.0	59.99925363633867
16238.0	59.99905973655579
16313.0	59.9989658109259
16388.0	59.99948930375078
16463.0	59.999073442817995
16538.0	59.998074608904936
16613.0	59.999016389626114
16688.0	59.999455201688875
16763.0	59.99948307056087
16838.0	59.9978863527495
16913.0	59.998838285217865
16988.0	59.99901772196139
17063.0	59.99736814423812
17138.0	59.99760232400704
17213.0	59.99928673588796
17288.0	59.99823727529781
17363.0	59.998479737189875
17438.0	59.99770208630725
17513.0	59.999193962363066
17588.0	59.99884986912697
17663.0	59.998249400677174
17738.0	59.99728458582697
17813.0	59.99717631479871
17888.0	59.999247380304524
17963.0	59.99841355014814
18038.0	59.998530617823945
18113.0	59.99909018749599
18188.0	59.99900738772366
18263.0	59.999109889311406
18338.0	59.99826216812697
18413.0	59.99863342498155
18488.0	59.99896634996176
18563.0	59.998304940081425
18638.0	59.99760155541444
18713.0	59.997828729845
18788.0	59.99862103633789
18863.0	59.896075882040066
18938.0	59.99815884533834
19013.0	59.99851604486455
19088.0	59.99898525077627
19163.0	59.999292511984706
19238.0	59.99897946144869
19313.0	59.990906270918025
19388.0	60.0
19463.0	60.0
19538.0	59.99823165340407
19613.0	59.99977766484564
19688.0	59.99894719679501
19763.0	59.99855625605723
19838.0	59.99907931402757
19913.0	59.996194791043926
19988.0	59.99590513985119
20063.0	59.99884960621136
20138.0	59.9987974723942
20213.0	59.99796566659729
20288.0	59.99899860904645
20363.0	59.999634862303964
20438.0	59.99939659141193
20513.0	59.99901691777442
20588.0	59.99948642313466
